Display Name ,Inventory Item: Frame Size ,Inventory Item: Wheel Size ,Inventory Item: Price Point ,Inventory Item: Web Category ,Current Quantity Available 
Academy 21 Aspire 20in Trans Dark Red,,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Academy 21 Entrant 20in Dark Grey Polished,,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Academy 21 Entrant 20in Gloss Black Rainbow,,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,3
Norco Storm 2.3  Purple 2021,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Mongoose21 Rockadile 20 F Silver,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20 Lite  Berry/Pink,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Merida 22 Matts J20  Red /Orange/Black,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20  Orange /Blue/White,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",3
Merida 22 Matts J20 Lite  Green/Red/Green,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20  Barbie Blue /Pink/Grey,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20  Candy Pink /Light Blue,,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Dahon 21 Vybe D7 Red,,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,1
Dahon 21 Mariner D8 Silver,,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,1
Velectrix Foldaway Red 2020,,"20""",Bikes 1500 - 2000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,2
Velectrix Foldaway Grey 2020,,"20""",Bikes 1500 - 2000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,1
Pedal Crush  Blue Orange 24-G,,"24""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",4
Pedal Crush  Turquoise Pink 24-G,,"24""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",5
Pedal Uptown Kids Rose Gold 24-G,,"24""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
