"Display Name ","Inventory Item: Size ","Inventory Item: Wheel Size ","Inventory Item: Price Point ","Inventory Item: Web Category ",Current Quantity Available
Norco 21 Search XR A1 LG Orange/Grey,LG,700c,Bikes 2000 - 3000,Root Catalog/Bikes/Road Bikes/Adventure Road,1
Merida21 eSpresso 300 SE EQ 504Wh LG Anthracite Black,LG,700c,Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Merida21 eOne Sixty 700 LG Glossy Metallic Teal Anthracite,LG,"29"" / 27.5""",Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,1
Merida21 Big Seven 20 LG Teal Blue Lime,LG,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 60 LG Purple Teal Blue,LG,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Matts 7.70 LG Orange Red,LG,"27.5"" (650b)",Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 One Forty 700 LG Glossy Race Red Black,LG,"27.5"" (650b)",Bikes 3000 - 4000,Root Catalog/Bikes/Mountain Bikes/Dual Suspension,2
Pedal Messenger Tokyo 55cm,MD,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Messenger Gotham 55cm,MD,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Norco 20 Sight VLT C2 MD 27.5 Deep Red EU,MD,,Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes,1
Silverback 21 Stride Delight 29 MD 42cm Black/Red,MD,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Silverback 21 Stride Se 27.5 MD 42cm Orange/Black,MD,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Messenger 3 Berlin Midnight Blue 55cm,MD,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Cube 21 Aim Pro 29 MD black n blue,MD,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Sport 29 MD 42cm Anthracite/Gloss Lime,MD,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco Scene 3 Blue 2019 MD,MD,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco20 Scene 3 Sunburst Yellow MD,MD,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 Wet Cement Grey MD,MD,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Cube 21 Attention SL 29 MD black n grey,MD,,Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco Scene VLT 27.5 Blue Yellow 2020 MD,MD,,Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
